text,llm_predict_value,llm_confidence,ground_truth
"It seems to me that everybody wants to take away patients rights , rather than focus on the real problem .",25.0,70.0,46.0
The reaction from feminist women when told to quit whining?,25.0,70.0,30.0
I ca n't remember the name of it .,65.0,100.0,20.0
"Nevada and Mississippi are at the bottom of the list, except for the non-state of the District of Columbia where only 43 percent believe their wallets would be returned.",52.0,65.0,57.0
"Look into Cica - Care , which is < < a unique product for improving scars .",42.0,68.0,43.0
This is exactly what liberal critiques of reform do not predict .,45.0,100.0,70.0
Check with your doctor before starting any weight loss program .,65.0,0.0,70.0
My wife and I think that you are doing a remarkable job and pray that it continues as you are faced with some major decisions .,50.0,75.0,50.0
"Though the immense scale of the investment was clear during the President's announcement, the flood of reports from news outlets across the country has been overwhelming.",70.0,65.0,73.0
"Metallica , WASP , Dio , Iron Maiden , Judas Priest",25.0,85.0,20.0
I think you are very talented .,20.0,70.0,53.0
The sheet cake was only going to be about $ 50 .,25.0,0.0,63.0
I would recommend this to anyone,20.0,50.0,57.0
Any new route would be north and west of the original plan .,50.0,0.0,63.0
Pretty Ricky because they have pretty voices,12.0,0.0,10.0
There is a soul .,40.0,0.0,50.0
We will be briefing Wayne McDaniel on Wednesday of next week .,65.0,0.0,73.0
"A documented record of success in administration , worker 's compensation insurance , teaching and on - shore management of an offshore captive corporation , * Director of Claims Management , Mercy Hospital 1997-1999 .",60.0,70.0,92.0
she actually used her head for once .,25.0,0.0,13.0
Here We Go .,18.0,75.0,40.0
"Another upgrade comes in Pennsylvania, where there's been some further polling to suggest the degree of trouble that Arlen Specter is in.",58.0,72.0,83.0
We request that you vote against the expansion of the existing church facility known as Cape Coral Community Church and the additional three proposals and phases being requested .,66.0,70.0,90.0
The rest is history .,25.0,70.0,47.0
The donations were just beyond anyone's imagination.,50.0,0.0,60.0
Haley Nicole sounds beautiful !,15.0,0.0,40.0
major mistake 3 : finding the elephant garlic is NOT irrelevant .,28.0,70.0,17.0
"Gateway Pundit: Clinton ""[a]dmits"" ""that the democrats tax everything that moves.""",20.0,12.0,60.0
He was not in volved in the crime amd needs someone to read the court transcripts ?,12.0,85.0,53.0
Well u shouldve told her parents if u were a true friend ! ! !,15.0,80.0,3.0
Dogs do have feelings .,30.0,60.0,47.0
It 's about 15.00 for a squirt behind the neck .,20.0,72.0,40.0
Supplements like evening primrose can also help .,40.0,0.0,50.0
;) Just play with baby .,12.0,70.0,3.0
Varies from individual to individual .,85.0,68.0,63.0
C'mon down !,12.0,70.0,0.0
The present is all there is .,72.0,70.0,53.0
"They're not buying an album, raving about it, and losing interest after a few months, they're constantly spreading my name to their Twitter followers, coworkers, pets, etc.",32.0,60.0,40.0
take the battery out and let it dry out for a day or two .,22.0,70.0,53.0
I hope this helps your project .,70.0,95.0,57.0
How about a nice study bible with a nice cover .,20.0,0.0,33.0
They helped one of my uncles die NATURALLY in New Jersey .,20.0,60.0,12.0
Rutgers lost the national championship .,50.0,0.0,73.0
Its an overcrowded bus .,12.0,0.0,23.0
Swiss Army for me !,12.0,70.0,17.0
they r realy stupid .,12.0,0.0,0.0
# All roads lead to Chuck Norris .,85.0,100.0,12.0
The other thing you could try is cutting your toe - nails .,25.0,0.0,46.0
God and His Goodness is more powerful than any one man on this earth and these sweet people need to know that .,35.0,70.0,42.0
"The 2017 budget deficit or the potential economic impact of a manufacturing plant closure in Georgia is not the kind of thing a lieutenant, captain, or major serving in the field is going to think about.",60.0,0.0,53.0
And a little robot keychain michele gave me .,15.0,0.0,20.0
Thanks for listening .,72.0,87.0,37.0
To those who support me - and to those who choose not to - I offer my sincerest thanks.,72.0,70.0,43.0
I agree with Ann O !,52.0,70.0,30.0
"If drugs policy, why not also tax policy?",70.0,90.0,43.0
lust is healthier than love,12.0,60.0,23.0
"There 's nothing wrong with a profit , but THIS is ridiculous !",15.0,50.0,33.0
"Dog food contains plant - derived nutrients too , and it 's important they get these .",25.0,70.0,83.0
The case of Stephanie proves how ineffable charisma and crowd appeal really are .,65.0,60.0,93.0
Penguins > devils : P,35.0,50.0,7.0
Conseco Fieldhouse for Pacers,78.0,85.0,42.0
"I am a Florida actor , and this is an important issue .",22.0,65.0,50.0
The police called from the town he was working in .,40.0,0.0,43.0
"Foot stomping, personal and often - ironically enough - sexualized attacks, and more whining.",20.0,60.0,27.0
"This legislation would make it very difficult for injured consumers and the families of many sick and injured children to sue and obtain adequate compensation from the companies responsible for causing their injuries , destroying yet another safety net for many vulnerable children and families .",65.0,70.0,80.0
I probably unlike the vast majority of your constituants have been to Europe and I did not claim anything with customs when I returned because I could not afford to spend up to the limit much less exceed it by such an amount .,30.0,50.0,77.0
Governor - I hope the original of this letter made its way to your desk .,78.0,20.0,70.0
The ones that are taken ... er ... yeah that 's a good answer .,12.0,0.0,20.0
Read,78.0,25.0,7.0
The American people do not need more symbolism.,55.0,0.0,63.0
Some just do n't have film .,45.0,85.0,27.0
That will catch keyloggers .,68.0,85.0,33.0
Happy Halloween.,65.0,68.0,13.0
I am proud of the response at the local and state level .,58.0,0.0,75.0
of assistance with the situation .,65.0,0.0,33.0
Depending on what you are worrying about try to relax and practice positive thinking .,45.0,0.0,57.0
Or education policy?,10.0,85.0,17.0
"Hail Hail ( to all Bhoys AND Ghurls , worldwide ) Btw .",18.0,80.0,20.0
"Some couldn't muster even that, struggling with the gentle but insidious side-to-side roll of the ship.",40.0,0.0,63.0
"If you do n't obey , you are only fooling yourself .",22.0,0.0,46.0
Please PLEASE add : Tom Cruise and his deer - in-the-headlights wife Katie .,20.0,70.0,33.0
all i know about clam chowder is from the simpsons .,25.0,70.0,30.0
Few words will do .,68.0,60.0,67.0
The Holy Trinity of the American Progressive .,35.0,0.0,43.0
are you actually a female ?,68.0,65.0,17.0
"She supports abortion, big government, ACORN, and unions.",25.0,0.0,57.0
And she goes even greener by waking up at 5 a.m. to cook overflowing deliveries of local produce.,25.0,80.0,40.0
"If you want abs , sit - ups are the way to go , man .",15.0,75.0,10.0
They have rough and dirty animal sex .,20.0,75.0,20.0
"No , there was n't .",42.0,92.0,20.0
"However, as Winston Churchill once said, Democracy can be a fickle employer, and the road to public office is not always a smooth one.",70.0,65.0,67.0
Ms Tracy listened,68.0,0.0,37.0
Probably because the people advertising such services are con artists and not serious witches .,25.0,70.0,53.0
The tax cut info was awesome .,15.0,65.0,12.0
What a load of crap .,8.0,0.0,3.0
They usually have a good selection .,15.0,0.0,47.0
Not all Yahoo servers have this facility .,58.0,72.0,77.0
yes i think u should tell her u need some space,12.0,70.0,13.0
Is it having an impact ?,60.0,90.0,50.0
They should have done the same - it is a competition !,25.0,60.0,53.0
"Like the pythons , Boas have anal spurs .",28.0,85.0,37.0
I 'm very relieved to hear that .,28.0,65.0,47.0
It is the only way to for media companies to weather the coming tsunami of increased bandwidth and the ever open web.,20.0,0.0,70.0
"No , I have to disagree w/you .",12.0,78.0,30.0
"For Petty Officer Rivera, the experience has got her thinking about signing back up for active duty, but she wasn't sure.",35.0,65.0,60.0
Murphy : Absolutely .,15.0,0.0,50.0
The fans who would follow you to the end of the world and purchase whatever you came out with.,28.0,72.0,27.0
Removing a large chip is certainly a good idea .,68.0,85.0,57.0
Stop hiding behind `` I am a black person . '',65.0,70.0,27.0
I have to be in the mood for it .,60.0,85.0,43.0
a clot in the blood stream.coagulation of blood in the bloodstream .,22.0,70.0,30.0
No training is worth that .,60.0,70.0,47.0
"Adrianne Curry , i like her !",12.0,85.0,7.0
"There's a Long, Long Trail A-Winding is perhaps Russell's most outstanding ghostly tale.",40.0,0.0,53.0
Where did you get that from ?,30.0,85.0,23.0
* The amusing thing about the right's claim that Bill Ayers and Jeremiah Wright visited the White House is that officials made it clear on the very first page of the document dump - even before the names! - that the duo weren't who they seemed to be.,25.0,0.0,70.0
"Realism is when the painting is realistic , almost like a photo .",30.0,80.0,60.0
"Well, tough cookies, mister.",28.0,70.0,33.0
"In the accompanying article - don't forget, things to read are in there - Vogue darling Sally Singer decides to reduce her environmental impact - kind of like when Kimora Lee Simmons did it for her reality show Life in the Fab Lane.",18.0,72.0,63.0
"Just compare Sinegal's contract with that for the CEO and president of Costco competitor BJ's Wholesale (BJ), Laura J. Sen.",75.0,95.0,47.0
Bayern wins 2-1 today .,25.0,60.0,50.0
Marshawn Lynch It all depends on what teams they go to .,20.0,70.0,17.0
He pulls over and the trooper comes to his window .,35.0,72.0,43.0
so it shows up better on 98 % of clean cars = ),22.0,0.0,10.0
please return to reality .,10.0,0.0,40.0
They're making it kind of a pain in the ass again (to see Trip).,8.0,0.0,7.0
And why isn't he?,38.0,70.0,30.0
Fateful Night in Togenkyo ( Part 1 ) 58 .,70.0,90.0,70.0
-liza,2.0,92.0,30.0
"Whether as a candidate for Congress, a State Assemblywoman or a small town Mayor, I have always sought to act with the best interest of our District and its residents in mind - and today I again seek to act for the good of our community.",65.0,70.0,77.0
Line dancing the achy breaky in a country bar ?,55.0,75.0,17.0
Skinner compared this learning with the way children learn to talk -- they are rewarded for making a sound that is sort of like a word until in fact they can say the word.,40.0,78.0,77.0
I wish we lived in Florida and could support you directly -- maybe you 'll run for President one day ? ?,22.0,90.0,33.0
"Ares I-X is the test vehicle for the Ares I, which is part of the Constellation Program to return men to the moon and beyond.",60.0,0.0,67.0
It truly depends on the individual .,80.0,70.0,53.0
I opted to take the plunge sooner with the DCR - SR100 .,22.0,65.0,43.0
i saw them at babys r us .,0.0,0.0,13.0
"Yes , unfortunately that picture depicted is very true .",15.0,60.0,67.0
Greenland is a dependant territory of Denmark .,60.0,75.0,90.0
"If Google home page , clk Tools / Internet Options",40.0,95.0,33.0
"driving with an overly rich engine can cause damage , slowly but definitley .",25.0,60.0,30.0
Hang in there !,10.0,0.0,10.0
Primed for a total screwing over .,20.0,0.0,20.0
"If the wall uses more force than you , then you will move .",30.0,60.0,50.0
I ' ve heard of this before .,10.0,0.0,30.0
We appreciate your willingness to work with our office .,65.0,70.0,80.0
Salvage material is worth what someone is willing to pay for it .,40.0,60.0,53.0
( Another photo of the accused can be seen here . ),42.0,65.0,58.0
this is a huge advantage since shirts are easy to stain .,12.0,70.0,30.0
Just drag the songs you want from you Itunes library playlist into the ipod .,25.0,85.0,40.0
if you see some point them out .,42.0,72.0,47.0
get checked out .,28.0,75.0,17.0
Today 's youth is denoted by energy - abundant and enormous energy .,38.0,65.0,80.0
You ' ll just know .,60.0,30.0,23.0
The dog probably does get sad when your friend is away .,25.0,0.0,47.0
I ' m with Tonks op all the Harry potters .,12.0,65.0,3.0
Try to put yourself in that puppies place ... Try to understand him .,28.0,80.0,20.0
Human species crave companionship just like all other species in their own unique ways .,25.0,0.0,77.0
While there is a caution against pepper where the stomach,72.0,92.0,37.0
He always makes it to Oregon before you .,50.0,0.0,23.0
"Sir , my guess is that they,us,the electroate are not going to remember the judge in this case , but they will remember you had a chance to throw your weight into this .",23.0,0.0,70.0
Or is it possible you already know about this information ?,20.0,0.0,47.0
a 4 ohm speaker requires more power than a 2 ohm .,15.0,65.0,47.0
"If you experience any problems receiving this information , please e - mail the return address provided , herein .",78.0,0.0,96.0
"I have taken the test every time that the test has been offered , so in January of 2001 , I took the test over again , but this time I passed the English part of the test .",32.0,5.0,50.0
"Like cages full of birds , their houses are full of deceit ; they have become rich and powerful and have grown fat and sleek .",68.0,70.0,47.0
And iam not trying to be funny either .,25.0,85.0,7.0
hello friend I am very happy we can discuss about business experience .,12.0,75.0,43.0
I just * love * the old school dons .,12.0,80.0,27.0
Thank you for inviting me to your Educators Leadership Summit .,50.0,80.0,75.0
Sometimes a tighter choke is n't better .,12.0,0.0,50.0
Does he come home to u for his vacations ?,10.0,0.0,7.0
And we waste far too much energy trying to categorize it.,28.0,75.0,47.0
"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . .",78.0,72.0,83.0
He was such a great dog .,20.0,90.0,50.0
"Yes , but only from the state you were employed in .",22.0,65.0,80.0
Expand the DVD/CD ROM Device branch .,82.0,98.0,50.0
"I'm theorizing that they've been taught to treat people who are ""different"" as they would treat anybody else.",40.0,72.0,53.0
do n't wear ponytails too tight .,22.0,78.0,20.0
They mark up the prices to offer reduced `` savings . '',20.0,0.0,57.0
It 's like that .,20.0,75.0,17.0
And nothing is done .,15.0,70.0,43.0
WTF WHAT IS THAT EMAIL ME ! !,0.0,0.0,0.0
crumbs from lunch ?,32.0,70.0,7.0
"The answer includes an ambitious list of ways, including using your notebook to record prices for future comparison - is the sale in front of you really a sale or just money off an inflated price?",62.0,66.0,67.0
i hope you can give me some suggest about my product .,12.0,0.0,53.0
Got to a really nice restaurant,15.0,70.0,7.0
Because split ends are ugly,60.0,0.0,3.0
twice a year .,15.0,0.0,10.0
These are people who will soon be arrested for `` national security '' reasons .,18.0,70.0,40.0
japanese is a really difficult language ! ! !,22.0,0.0,20.0
"The deadline for applications is November 13, 2009.",65.0,0.0,67.0
"After two hours or less , susceptible cats gain interest again .",20.0,95.0,58.0
"If you ' re wearing closed toe shoes , then wear pantyhose .",15.0,85.0,57.0
"Further , despite suggestions that the cost for this program could be phased in over a period of years , it is highly unlikely that a state having determined that KI is necessary , will want to wait for one or more years to obtain their KI supplies .",70.0,0.0,87.0
The transfer of the pad from the Space Shuttle Program to the Constellation Program took place May 31.,82.0,28.0,67.0
"PLEASE DO NOT SIGN THIS INTO LAW....we have laws already to protect the patients from retaliation , and the staffing of these facilities are still not going to open up if they are n't already due to job security .",18.0,88.0,53.0
Prepaid credit cards are actually a savings account and do not count as credit .,60.0,10.0,70.0
I confronted him about this and he shrugged it off .,35.0,65.0,57.0
It can be created on hair that is `` day old '' or older .,25.0,70.0,61.0
Rep. Michelle Bachman released a statement on Dede's resignation.,60.0,65.0,77.0
Powerful energy Vermont plan for 'smart' meters getting $69M: A Vermont plan to install electricity smart meters and other technologies to improve energy efficiency and reduce energy costs will receive nearly $70 million in stimulus money.,60.0,55.0,77.0
"If the goal is to have a pigeon turn in a circle to the left, a reward is given for any small movement to the left.",55.0,70.0,70.0
"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent.",40.0,0.0,63.0
"George Hodges is a supporter of yours , as well as the "" major "" benefactor of the University of North Florida .",28.0,60.0,70.0
"Ms. Scozzafava told the Watertown Daily Times that Siena Research Institute poll numbers show her too far behind to catch up, and she lacks enough money to spend on advertising in the last three days to make a difference.",72.0,0.0,60.0
But in cyber cafe any kind of unauthorised person can use the pc .,20.0,50.0,30.0
"The President 's Executive Order 13217 calls for the "" implementation of the American with Disabilities Act 's ( ADA ) integration mandate .",72.0,75.0,96.0
Hidden Valley Ranch salad dressing truck !,70.0,85.0,10.0
Wow ... hiding behind chilldren .,12.0,0.0,10.0
Now you ' re forced to chase his ass down and take whats rightfully yours .,15.0,0.0,3.0
Have a support system ; it helps .,40.0,70.0,53.0
Also on Facebook here.,62.0,70.0,10.0
 And we 're going to have to work hard to do that . ,100.0,100.0,27.0
"Instead, Pelosi, Reid, and Obama threatened the health insurance industry Chicago-gangster-style, warning them to shut up or else.",25.0,70.0,47.0
It may even be that although we can understand all of this intellectually .,65.0,50.0,87.0
"Earlier in the week, President Obama announced the largest-ever investment in the nation's electric grid - more than $3.4 billion in grants distributed among 100 grantees.",72.0,70.0,70.0
A simple disagreement with my wife that regrettably involved the Jacksonville Sheriffs Office has all but destroyed a family .,28.0,65.0,67.0
Use oxy pads or another acne medicine .,15.0,100.0,30.0
"No me imagino como se sentiran los padres que tienen que poner a sus hijos en "" group homes "" o instituciones .",22.0,68.0,17.0
They also learn about the diseases themselves .,65.0,60.0,43.0
"No , never , best things I ever did .",12.0,85.0,20.0
Sorry that happened .,35.0,0.0,30.0
I wish there was any easy answer .,40.0,70.0,60.0
"Finally , the boy you sent the note to for me has made a full recovery and returned to school .",40.0,70.0,67.0
so I told her I 'd be in touch frequently to share updates with her .,15.0,75.0,62.0
then follow step 1 .,75.0,25.0,30.0
C6H12O6 +6 O2 --------- > Energy + 6O2 +6 H20,58.0,88.0,50.0
That 's the only bad thing .,15.0,0.0,47.0
And most of that programs are illegal anyway,60.0,0.0,37.0
All Idiots Die for Sex ! !,5.0,90.0,33.0
They 're not having much success with limited resurces .,15.0,0.0,50.0
Mark `` Rent - boy '' Renton : [ narrating ] Heroin makes you constipated .,25.0,0.0,13.0
Not just a purchase of a track but of an app that pulls consumers into an experience and further promotes user engagement and virality.,38.0,0.0,53.0
He later restored about one - third of that after an aggressive lobbying campaign by the colleges .,40.0,0.0,75.0
And all the best to you .,25.0,0.0,54.0
at 7:00 am ... i ' ll be here till then ...,12.0,95.0,33.0
Chocolate covered strawberries .,72.0,0.0,43.0
I think Monroe piercings are icky on anyone .,25.0,5.0,20.0
The total cost was $ 27 million and Jackson Memorial Hospital treated 576 people at a cost of $ 5 million .,65.0,70.0,70.0
2. What the hell isn't he talking about?,34.0,65.0,3.0
"Now , you can choose the best deal from the information you have gathered .",45.0,85.0,70.0
Repeat with remaining chicken .,65.0,60.0,39.0
"Battery life is the stand-out surprise at this stage, and we're especially enamored by Android 2.0's new gauges, which show what has been consuming the most power.",30.0,65.0,70.0
The lines between these different forms of media are quickly blurring and soon will be completely artificial.,60.0,65.0,53.0
he could like you,12.0,85.0,33.0
"Or, as the headline in the Philadelphia Business Journal has it: ""Reed Smith's New Personnel Policy Allows it to Ditch Automatic Pay Raises.""",62.0,60.0,63.0
"Take vitamins , eat right , and you ' ll be fine !",15.0,90.0,50.0
"For similar offers on the remainder of Apple's Mac product line, please see our full-fledged Mac Price Guide.",60.0,75.0,60.0
what kinds is it ?,15.0,65.0,23.0
"The latest models reverse the trend toward cheap displays and instead provide quality IPS (""in-plane switching"") panels that deliver the much improved color and wide, 178 degree viewing angles.",68.0,68.0,57.0
"Then type in msconfig , click OK .",70.0,50.0,25.0
Thanks Sandra .,40.0,60.0,30.0
"An alternative disposal method , transmutation , has been demonstrated at CERN for technetium-99 .",75.0,0.0,97.0
You ' ll need the licence plate and VIN number .,12.0,65.0,70.0
i used to love that stuff ! !,12.0,90.0,3.0
Seems this doctor is a family practitioner .,40.0,0.0,40.0
Internet file server ( ftp ) sites / 6 .,12.0,70.0,39.0
I do n't know u and i do n't have a problem with u,12.0,0.0,0.0
DeDe Scozzafava has dropped out of the NY-23 race.,68.0,70.0,63.0
Which society are you talking about ?,28.0,0.0,60.0
"Union membership needs to approve the deal, which will guarantee a Great White North presence for Ford until at least 2012.",45.0,70.0,40.0
"And she's ""learned what's important in life?""",20.0,0.0,20.0
These two facts grate on feminists.,20.0,70.0,37.0
"She has already incorporated local food into her diet, bikes occasionally, and champions sustainable fashion.",60.0,70.0,50.0
The researchers found that lupus nephritis rarely developed in the transplanted kidneys of these lupus patients; it occurred in 2.44% of individuals in the study.,85.0,0.0,70.0
"The Event will take place on Wednesday , November 12th .",72.0,65.0,60.0
"Based on the fastest-rising related terms [footie pajamas], [footed pajamas] and [max costume pattern], it seems like at least a few folks are choosing to make [max wolf suit] costumes at home:",35.0,25.0,57.0
I finger comb Straight Away through wet hair .,70.0,0.0,23.0
"Love Is A Wonderful Thing , Michael Bolton 50 .",20.0,0.0,50.0
I ' ll vote for the sexy lingerie,5.0,70.0,27.0
I wouldnt worry about it unless it stays there for more than 2 days .,15.0,10.0,43.0
four speed or three with an overdirve .,25.0,60.0,23.0
How 's that for some additional pressure ?,78.0,75.0,23.0
"UPDATE: Republican nominee for Congress Dede Scozzafava announced Saturday that she has dropped out of the race, according to the Watertown Daily Times.",70.0,70.0,63.0
My name is Tiffany Evans and I am a senior at Saint Augustine High School .,60.0,70.0,77.0
"Historically , there has been no US city more resiliant than New Orleans .",30.0,70.0,73.0
"It has long, deep relationships with the biggest advertisers online, as well as the community of developers writing the Internet's next act.",68.0,65.0,83.0
The Democrats have chosen symbolism over substance.,25.0,65.0,40.0
It feels more refined than the first version of Android on T-Mobile's G1 and it's certainly better than the muddled interface on Motorola's Cliq.,40.0,0.0,47.0
powdered sugar ( about 4 cups ) 2 pkg .,20.0,15.0,30.0
It costs nothing but creates much .,75.0,70.0,50.0
What kind of partner does she have ?,60.0,60.0,60.0
Yes when you are stressed or upset so is your baby,12.0,80.0,67.0
"Predictably, he said ""It was one of those wild coincidences.""",45.0,60.0,43.0
Buy a good filter .,70.0,60.0,47.0
"However , it can be detected as it impedes every reaction with which it come in contact .",30.0,65.0,94.0
"Governor Bush , you have just signed a bill permitting tax dollars to be used to send students from "" failing "" schools to the school of their choice , including religious schools .",40.0,65.0,80.0
He adds that Google isn't particularly experienced at hardware design and that its influence on the T-Mobile G1's hardware design is more a negative than a positive.,72.0,0.0,70.0
"Miss Summas thought she was making a point about how it does n't help to have 10 free points if you scored a 30--which a number of the kids did---but what message are they trying to send us ? """,26.0,70.0,53.0
what is the end result that you want ?,70.0,90.0,43.0
Seattle South Florida Tampa Bay Washington Wichita,15.0,75.0,33.0
3) We choose a winning 6-word story.,82.0,90.0,57.0
This is not about healthcare.,65.0,0.0,53.0
BlackBerry.net ),85.0,72.0,29.0
The system we live in is designed to make people want everything NOW .,20.0,75.0,57.0
"They are not looking much at Dr. Abdullah, because if he ultimately boycotts but there's a high turnout, then the election will have credibility, he said.",42.0,65.0,37.0
Hopefully you did n't just toss it .,18.0,65.0,27.0
She never even had to speak a word .,50.0,0.0,50.0
The song is called Unbelievable and it 's by Kaci Brown .,20.0,0.0,60.0
I like jeans and i only wear slippers in winter - animal slippers,15.0,0.0,13.0
360 : Muslimah .,15.0,0.0,44.0
Shame on your Realtor for not being available to you !,22.0,70.0,30.0
"All walks of life : George Best , for example .",30.0,0.0,60.0
"The amount of land required to generate electricity for the nation does sound like an awful lot, sometimes.",40.0,0.0,63.0
"I personally love Rascal Flatts , Joe Nichols , and Keith Urban .",28.0,85.0,43.0
What is a clot ?,45.0,65.0,53.0
Relationships between the Republican establishment in Washington and the conservative movement are in rubble.,60.0,0.0,73.0
"But even if Abdullah doesn't boycott, but President Karzai wins with a low turnout, it will not be a credible result.",40.0,0.0,70.0
These candidates can be of any stripe.,50.0,0.0,43.0
Perhaps you could think about working from home or being your own boss .,60.0,0.0,57.0
Yeah sure they are states so go with it .,12.0,0.0,29.0
"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.",50.0,60.0,60.0
I would have it checked just to be safe .,28.0,0.0,50.0
`` A Place in the Sun '' Performed by Gabe Dixon,75.0,95.0,58.0
do anything i want.help the envionment.play with ur famaly,8.0,0.0,7.0
` Maynard 's Dick ' by Maynard James Keenan or Tool .,15.0,60.0,50.0
How do we get the ball rolling ?,12.0,0.0,13.0
only if she likes you too if not do n't waist your time,20.0,40.0,3.0
of course silly .,5.0,85.0,23.0
Seriously ... it is very obvious that she is interested in you .,20.0,0.0,20.0
You might be going out and giving out to immature guys .,20.0,65.0,33.0
Wich is according to the exersise is not true .,19.0,0.0,13.0
The Humane Society estimates Americans own about 75 million dogs and 88 million cats.,68.0,82.0,57.0
"If the candidate is white and male (Doug Hoffman), great.",20.0,80.0,30.0
Skirts covered the knees .,40.0,0.0,47.0
I have recently been made aware that there is talk of piping an outlandish amount of water from the Suwannee River down to Tampa .,60.0,65.0,77.0
tell her parents .,63.0,90.0,7.0
"Nickelback , side of a bullet , rockstar , leader of men ,",20.0,0.0,20.0
my badge went to I - Hop ...,12.0,90.0,17.0
That may help u.,15.0,75.0,7.0
Slide doughnuts into the hot oil using a wide spatula .,35.0,60.0,67.0
"The tools are basic-you can crop, adjust exposure, saturation, and tint, among others, with some standard special effects like soft focus, colors and filters like ""warm vintage"" and pop-but using entirely swipe-based gestures as a virtual slider for how intensely or lightly the effect is applied is natural and easy",28.0,68.0,53.0
"Pearl Harbor was a disaster, like the Spanish Armada. Listen, son - you and I are professionals. If the manager says, 'Sacrifice,' we lay down a bunt, and let somebody else hit the home runs.",30.0,70.0,60.0
The other has Kansas City Chiefs and the other is Miami Gators .,80.0,100.0,23.0
"Now , a 7 month old cat is still a kitten and growing .",28.0,85.0,47.0
Will the amendment improve education ?,88.0,72.0,63.0
Self - realization is much easy then framing and execution of tricks .,25.0,0.0,71.0
"a true friend , Billie",12.0,60.0,12.0
"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue.",25.0,0.0,63.0
The Early Intervention program proves that the corrective action is ineffectual as the Early Intervention program continues to fail to meet state policy and federal law .,60.0,70.0,77.0
then u can apply for USA Student Visa .,60.0,60.0,7.0
All of these definitely believe in God .,45.0,65.0,50.0
"`` I did not come to bring peace , but a sword . ''",72.0,60.0,60.0
# President Roosevelt once rode his horse 100 miles .,50.0,50.0,33.0
"and by the way , he murdered 32 not 31",40.0,90.0,23.0
"In closing , I stand ready to serve the citizens in my new capacity and you as the leader of this great state .",70.0,0.0,87.0
It is called Netwinner and it is kind of new .,25.0,75.0,50.0
"Robert W. Moffat Jr. was a longtime I.B.M. manager, who rose to become a senior vice president of the company in charge of its systems and technology group - chip manufacturing and server computers.",62.0,70.0,80.0
You design them on your computer and print them on your printer .,85.0,90.0,53.0
"However , on May 19th , it looks as though I will be appearing before the Judicial Nominating Committee regarding the open County Judge position and am waiting until that time to make further employment plans .",66.0,70.0,90.0
The school systems are superior to most I have seen and this may be one of the reasons .,40.0,0.0,73.0
